T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
37.0	2.302738836581943e-66	9.210955346327772e-68	2.8602501633370526e-65	31839433780087.11	1.144100065334821e-66	4.527997199952621e-65	50404285909072.23	1.8111988799810483e-66
38.0	2.6214097407904867e-64	1.0485638963161947e-65	3.520011644425989e-63	34420342985384.035	1.4080046577703957e-64	5.658911823291207e-63	55335523162308.02	2.263564729316483e-64
39.0	2.341917551719633e-62	9.367670206878532e-64	3.3917719112130266e-61	37124536493096.04	1.3567087644852108e-62	5.5367275818725695e-61	60602083673736.08	2.214691032749028e-62
40.0	1.672068247949806e-60	6.688272991799225e-62	2.606170797902898e-59	39953504266105.16	1.0424683191611592e-60	4.319359971912452e-59	66217289827478.84	1.727743988764981e-60
41.0	9.69863812897593e-59	3.8794552515903725e-60	1.6234891591204144e-57	42908629146617.57	6.493956636481658e-59	2.7315533288114345e-57	72194635930725.86	1.092621331524574e-58
42.0	4.638650112249273e-57	1.8554600448997093e-58	8.32262305564313e-56	45991186314139.91	3.3290492222572515e-57	1.4214106387419516e-55	78547786050404.12	5.685642554967806e-57
43.0	1.8541562001846766e-55	7.416624800738707e-57	3.5589845189979794e-54	49202342914206.84	1.4235938075991919e-55	6.169377455113403e-54	85290571929525.92	2.467750982045361e-55
44.0	6.270363725759523e-54	2.5081454903038092e-55	1.2852952482661767e-52	52543157867880.82	5.141180993064707e-54	2.2611664408780894e-52	92436990978439.45	9.044665763512358e-54
45.0	1.814161437311645e-52	7.25664574924658e-54	3.964341211991226e-51	56014581868715.57	1.5857364847964905e-52	7.077423099033205e-51	100001204336598.73	2.830969239613282e-52
46.0	4.5364856117861934e-51	1.8145942447144775e-52	1.055083877580015e-49	59617457570938.055	4.2203355103200595e-51	1.911293480809138e-49	107997535000820.7	7.645173923236552e-51
47.0	9.896247605997508e-50	3.9584990423990036e-51	2.445842262565328e-48	63352519970049.01	9.783369050261312e-50	4.4954014929498885e-48	116440466016311.27	1.7981605971799555e-49
48.0	1.8994967759805597e-48	7.597987103922238e-50	4.981196007720909e-47	67220396974829.23	1.9924784030883637e-48	9.288344641137678e-47	125344638727030.19	3.715337856455071e-48
