T	63_TPD_HH	63_rate_HH	63_TPD_full	63_pre_full	63_rate_full	63_TPD_Tait	63_pre_Tait	63_rate_Tait
67.0	9.118069727407858e-33	3.6472278909631434e-34	1.0051389978062441e-30	277994599289523.9	4.0205559912249764e-32	9.532522238672436e-31	263644103526171.72	3.813008895468974e-32
68.0	4.0708295853473386e-32	1.6283318341389355e-33	4.728442226110347e-30	292919517042065.6	1.8913768904441387e-31	4.482365071829176e-30	277675426548774.25	1.7929460287316707e-31
69.0	1.74070617386405e-31	6.9628246954562e-33	2.128726936675763e-29	308395214703307.9	8.514907746703052e-31	2.0171602245026945e-29	292232202171467.94	8.068640898010778e-31
70.0	7.1422425941784976e-31	2.856897037671399e-32	9.18851082170868e-29	324431995870761.5	3.675404328683472e-30	8.704039357294422e-29	307326063561142.75	3.481615742917769e-30
71.0	2.8168842230389105e-30	1.1267536892155642e-31	3.8094412711372253e-28	341040086461436.5	1.5237765084548902e-29	3.607582957103845e-28	322968728492882.6	1.443033182841538e-29
72.0	1.0696585318888141e-29	4.2786341275552565e-31	1.5194748610344528e-27	358229629798563.9	6.077899444137812e-29	1.438639584188436e-27	339171998743385.5	5.754558336753744e-29
73.0	3.9168799831529284e-29	1.5667519932611714e-30	5.840194388977793e-27	376010681828533.9	2.336077755591117e-28	5.528577267209108e-27	355947759497245.4	2.2114309068836433e-28
74.0	1.3851437339104371e-28	5.540574935641749e-30	2.1662627041165945e-26	394393206468948.6	8.665050816466378e-28	2.0504489891938424e-26	373307978765648.5	8.20179595677537e-28
75.0	4.737129032276046e-28	1.8948516129104186e-29	7.765312890223336e-26	413387071088495.0	3.1061251560893345e-27	7.349753013164603e-26	391264706817058.1	2.9399012052658412e-27
76.0	1.568829519157991e-27	6.275318076631964e-29	2.693720630717598e-25	433002042119071.1	1.0774882522870393e-26	2.5495670283263138e-25	409830075619479.6	1.0198268113305255e-26
77.0	5.0375683127355844e-27	2.0150273250942338e-28	9.054062546879128e-25	453247780800398.0	3.621625018751651e-26	8.57001526080125e-25	429016298293920.6	3.4280061043205e-26
78.0	1.570244696430296e-26	6.280978785721185e-28	2.9522636741945187e-24	474133839057161.0	1.1809054696778075e-25	2.7947409167475232e-24	448835668578675.1	1.1178963666990093e-25
79.0	4.7566944635655716e-26	1.9026777854262287e-27	9.349415145307024e-24	495669655508520.25	3.73976605812281e-25	8.85203626537634e-24	469300560304077.94	3.540814506150536e-25
80.0	1.4018466394526543e-25	5.6073865578106176e-27	2.8787473052774215e-23	517864551609657.3	1.1514989221109686e-24	2.7262053642790706e-23	490423426877396.44	1.0904821457116282e-24
81.0	4.0234243540088934e-25	1.6093697416035574e-26	8.627030553781227e-23	540727727924890.6	3.450812221512491e-24	8.172153492897371e-23	512216800777533.56	3.268861397158948e-24
82.0	1.1256733764078812e-24	4.502693505631525e-26	2.5187488919708656e-22	564268260531704.1	1.0074995567883463e-23	2.386733817294935e-22	534693293059237.2	9.546935269179741e-24
83.0	3.0729180299553337e-24	1.2291672119821336e-25	7.171015816505492e-22	588495097554936.1	2.868406326602197e-23	6.797784733553513e-22	557865592866520.25	2.7191138934214053e-23
84.0	8.192062914421624e-24	3.2768251657686497e-25	1.992672749282514e-21	613417055830235.6	7.970690997130055e-23	1.8897914896149356e-21	581746466955010.1	7.559165958459743e-23
85.0	2.134533687023718e-23	8.538134748094872e-25	5.409035437652205e-21	639042817695773.8	2.1636141750608823e-22	5.132303869777319e-21	606348759222957.5	2.0529215479109278e-22
86.0	5.440351326660274e-23	2.1761405306641095e-24	1.435437045575817e-20	665380927911129.8	5.741748182303268e-22	1.362745116788053e-20	631685390250647.0	5.450980467152213e-22
87.0	1.3573626085165417e-22	5.429450434066167e-24	3.7270460033924615e-20	692439790702130.8	1.4908184013569846e-21	3.5404329524569506e-20	657769356847959.6	1.4161731809827803e-21
88.0	3.3176117727378163e-22	1.3270447090951266e-23	9.475065466663413e-20	720227666930390.1	3.790026186665365e-21	9.006540881755668e-20	684613731609849.9	3.602616352702267e-21
89.0	7.949092072789556e-22	3.1796368291158224e-23	2.360167184528204e-19	748752671386183.2	9.440668738112817e-21	2.2450481471459343e-19	712231662479515.2	8.980192588583738e-21
90.0	1.8683571045642996e-21	7.473428418257199e-23	5.764200129392248e-19	778022770203264.4	2.305680051756899e-20	5.487212504125791e-19	740636372319026.9	2.1948850016503165e-20
91.0	4.310504250397358e-21	1.724201700158943e-22	1.3811819647995698e-18	808045778394112.9	5.524727859198279e-20	1.3158793131449932e-18	769841158487220.8	5.263517252579973e-20
92.0	9.767547637958426e-21	3.9070190551833707e-22	3.2489723479157685e-18	838829357504147.6	1.2995889391663075e-19	3.0980330206141354e-18	799859392424648.0	1.239213208245654e-19
93.0	2.175125719476123e-20	8.700502877904492e-22	7.507245665155672e-18	870381013383270.1	3.002898266062269e-19	7.16502635654802e-18	830704519245379.9	2.866010542619208e-19
94.0	4.7628390686454984e-20	1.9051356274581994e-21	1.7049046662719154e-17	902708094073207.2	6.819618665087662e-19	1.6287577817802847e-17	862390057335492.4	6.515031127121139e-19
95.0	1.0260330400419717e-19	4.104132160167887e-21	3.807496365125425e-17	935817787808927.8	1.52299854605017e-18	3.641137447543502e-17	894929597958042.6	1.4564549790174007e-18
96.0	2.1756659310443145e-19	8.702663724177258e-21	8.366120779653609e-17	969717121132542.6	3.3464483118614435e-18	8.009116952191521e-17	928336804864365.5	3.203646780876608e-18
97.0	4.543294476305024e-19	1.8173177905220096e-20	1.8095477546919025e-16	1004412957117953.2	7.238191018767611e-18	1.7342634262218155e-16	962625413911527.1	6.937053704887263e-18
98.0	9.347620597276943e-19	3.7390482389107774e-20	3.8546461742314726e-16	1039911993704522.4	1.5418584696925897e-17	3.698583692340698e-16	997809232685771.1	1.4794334769362797e-17
99.0	1.8957376877339637e-18	7.582950750935856e-20	8.090334265748254e-16	1076220762138073.1	3.236133706299304e-17	7.772210131981836e-16	1033902140131798.9	3.1088840527927365e-17
100.0	3.791316337679175e-18	1.5165265350716701e-19	1.6738128007684057e-15	1113345625517442.0	6.695251203073633e-17	1.6100268956482966e-15	1070918086187749.5	6.440107582593196e-17
101.0	7.48025848042121e-18	2.9921033921684843e-19	3.4149884627493023e-15	1151292777444847.8	1.3659953850997253e-16	3.2891563797519248e-15	1108871091425712.2	1.315662551900774e-16
102.0	1.4565691604645995e-17	5.826276641858398e-19	6.873688252409715e-15	1190068240778275.5	2.749475300963904e-16	6.629409103861833e-15	1147775246697655.2	2.6517636415447503e-16
