T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
73.0	1.1949007434490913e-37	4.779602973796365e-39	1.5654673676583675e-35	363591316593510.6	6.261869470633471e-37	1.5325575079864045e-35	355947759497245.4	6.130230031945618e-37
74.0	5.501672509581964e-37	2.2006690038327859e-38	7.564000967682685e-35	381555884218217.9	3.025600387073074e-36	7.400493687609107e-35	373307978765648.5	2.960197475043643e-36
75.0	2.432443318469824e-36	9.729773273879296e-38	3.507119718100306e-34	400137428702373.5	1.4028478872401224e-35	3.429352192132733e-34	391264706817058.1	1.3717408768530932e-35
76.0	1.0343608472324252e-35	4.137443388929701e-37	1.562947934025054e-33	419347204733148.3	6.251791736100217e-35	1.5274766655435491e-33	409830075619479.6	6.109906662174196e-35
77.0	4.2368470811094735e-35	1.6947388324437893e-36	6.705022984962274e-33	439196425065052.2	2.68200919398491e-34	6.549607366585699e-33	429016298293920.6	2.6198429466342795e-34
78.0	1.6740984099525886e-34	6.696393639810355e-36	2.7730048954686694e-32	459696256682203.75	1.1092019581874677e-33	2.707491062060246e-32	448835668578675.1	1.0829964248240985e-33
79.0	6.3897077397251075e-34	2.555883095890043e-35	1.1071242410879105e-31	480857817108381.06	4.428496964351642e-33	1.0805148802471814e-31	469300560304077.94	4.322059520988726e-33
80.0	2.3588883001206204e-33	9.435553200482482e-35	4.272756886464821e-31	502692170865917.1	1.7091027545859285e-32	4.168475651539426e-31	490423426877396.44	1.6673902606157706e-32
81.0	8.43328432797526e-33	3.373313731190104e-34	1.5959845542435016e-30	525210326083888.6	6.383938216974006e-32	1.5565004377587041e-30	512216800777533.56	6.226001751034816e-32
82.0	2.923206318803624e-32	1.1692825275214495e-33	5.776622627989868e-30	548423231255512.9	2.3106490511959474e-31	5.632003167789509e-30	534693293059237.2	2.2528012671158038e-31
83.0	9.835156463970335e-32	3.934062585588134e-33	2.0283149995269498e-29	572341772144160.1	8.1132599981078e-31	1.9770130450065264e-29	557865592866520.25	7.908052180026105e-31
84.0	3.21532360332924e-31	1.286129441331696e-32	6.916411189592432e-29	596976768836910.2	2.7665644758369726e-30	6.739957036171895e-29	581746466955010.1	2.6959828144687578e-30
85.0	1.0224225636829502e-30	4.0896902547318006e-32	2.292746869744163e-28	622338972944106.0	9.170987478976652e-30	2.2338376353083564e-28	606348759222957.5	8.935350541233427e-30
86.0	3.165327441084546e-30	1.2661309764338183e-31	7.395822826878276e-28	648439064943022.9	2.9583291307513106e-29	7.204737470639207e-28	631685390250647.0	2.881894988255683e-29
87.0	9.549708873735673e-30	3.8198835494942693e-31	2.3236869850134136e-27	675287651663319.4	9.294747940053654e-29	2.263405957273882e-27	657769356847959.6	9.053623829095529e-29
88.0	2.81013651541974e-29	1.1240546061678958e-30	7.117323735856663e-27	702895263911672.5	2.846929494342665e-28	6.93220997786164e-27	684613731609849.9	2.772883991144656e-28
89.0	8.072272009913285e-29	3.228908803965314e-30	2.127030062737216e-26	731272354232682.8	8.508120250948864e-28	2.0716469711436657e-26	712231662479515.2	8.286587884574663e-28
90.0	2.2653966226760755e-28	9.061586490704301e-30	6.207286245391716e-26	760429294802813.8	2.4829144981566866e-27	6.045719172253676e-26	740636372319026.9	2.4182876689014704e-27
91.0	6.215934457511447e-28	2.4863737830045788e-29	1.7702681761516676e-25	790376375454022.2	7.08107270460667e-27	1.7242738344485567e-25	769841158487220.8	6.897095337794227e-27
92.0	1.6687888990251874e-27	6.67515559610075e-29	4.937518414622204e-25	821123801823383.4	1.9750073658488817e-26	4.809652905488048e-25	799859392424648.0	1.923861162195219e-26
93.0	4.386665264586525e-27	1.75466610583461e-28	1.3477834524221977e-24	852681693624977.2	5.391133809688791e-26	1.3130454344944362e-24	830704519245379.9	5.252181737977745e-26
94.0	1.1297907133725865e-26	4.519162853490346e-28	3.60304295563235e-24	885060083040083.4	1.4412171822529401e-25	3.510754219552009e-24	862390057335492.4	1.4043016878208038e-25
