T	46_TPD_HH	46_rate_HH	46_TPD_full	46_pre_full	46_rate_full	46_TPD_Tait	46_pre_Tait	46_rate_Tait
68.0	6.2568004563087e-16	2.502720182523481e-17	8.4211574207779e-12	2.0279711303592188e+16	3.3684629683270495e-13	1.4467974373892577e-11	3.4841569726188344e+16	5.787189749602678e-13
69.0	1.6119023010141089e-15	6.447609204056442e-17	2.2424050920586222e-11	2.0961272434685124e+16	8.969620368352334e-13	3.922697012106753e-11	3.666809402165918e+16	1.5690788048777788e-12
70.0	4.043756244136605e-15	1.6175024976546465e-16	5.809608747594117e-11	2.164732332025747e+16	2.323843499120288e-12	1.0349094211038433e-10	3.856200962874804e+16	4.1396376846703026e-12
71.0	9.889440157000337e-15	3.9557760628001616e-16	1.466098336770895e-10	2.233745451356055e+16	5.864393347632829e-12	2.6598072108926514e-10	4.052478684564691e+16	1.0639228845326862e-11
72.0	2.3602229451253096e-14	9.440891780501394e-16	3.607684540620072e-10	2.3031266160848196e+16	1.4430738165947537e-11	6.666394296272115e-10	4.2557906510724696e+16	2.666557719658277e-11
73.0	5.5024778927018306e-14	2.2009911570808207e-15	8.665305837395192e-10	2.372836838864758e+16	3.466122337041343e-11	1.6310322493225715e-09	4.46628599280297e+16	6.524129004451781e-11
74.0	1.254278167177389e-13	5.017112668710033e-15	2.033509807404307e-09	2.442838162900422e+16	8.134039241554476e-11	3.8992323269656755e-09	4.684114879435017e+16	1.5596929350422446e-10
75.0	2.797979336418439e-13	1.1191917345676226e-14	4.666710862432744e-09	2.5130936886491628e+16	1.866684351508503e-10	9.116605322260421e-09	4.909428512777898e+16	3.6466421530739605e-10
76.0	6.113289080642237e-13	2.4453156322581187e-14	1.0482200709077032e-08	2.5835675950747652e+16	4.19288031787737e-10	2.086395949150871e-08	5.1423791197731304e+16	8.345583928001061e-10
77.0	1.309275570784627e-12	5.23710228314433e-14	2.3063569905418222e-08	2.6542251558244532e+16	9.225428134221417e-10	4.6775971764631764e-08	5.383119945636703e+16	1.8710389390812427e-09
78.0	2.7506872859933656e-12	1.10027491440001e-13	4.9747429052538856e-08	2.7250327506924676e+16	1.9898972451072493e-09	1.0281264334295419e-07	5.6318052471371304e+16	4.112506076637409e-09
79.0	5.673058266921788e-12	2.2692233067804514e-13	1.0527022255531223e-07	2.795957872724401e+16	4.210809287337265e-09	2.2171047613619998e-07	5.888590286004899e+16	8.868420696722552e-09
80.0	1.1493585576675454e-11	4.59743423072004e-13	2.1869365270128321e-07	2.8669691313058452e+16	8.747747829006344e-09	4.6940157548260454e-07	6.153631322469098e+16	1.8776070678206375e-08
81.0	2.2889588786255867e-11	9.155835514706874e-13	4.463265002459779e-07	2.9380362515672216e+16	1.7853067426447204e-08	9.76358715835126e-07	6.427085608917142e+16	3.905438289617405e-08
82.0	4.483662390849255e-11	1.7934649564208166e-12	8.954290983779603e-07	3.0091300704239296e+16	3.5817194800634856e-08	1.996433340409566e-06	6.70911138367383e+16	7.985748164563339e-08
83.0	8.643622050405325e-11	3.457448820473524e-12	1.766992930151464e-06	3.0802225295576344e+16	7.06798414032949e-08	4.015518691843143e-06	6.999867864895903e+16	1.606213660822474e-07
84.0	1.6408544042058006e-10	6.563417617981651e-12	3.4317381408728903e-06	3.1512866656305464e+16	1.372700093982302e-07	7.949107389747519e-06	7.299515244578702e+16	3.179667965958756e-07
85.0	3.068936293024375e-10	1.227574517627845e-11	6.5630857462413515e-06	3.2222965980103284e+16	2.625252559521095e-07	1.5496066692139647e-05	7.608214682671469e+16	6.198524704833899e-07
86.0	5.65810119900394e-10	2.2632404810669782e-11	1.2366428424985792e-05	3.293227514268639e+16	4.946638243583271e-07	2.9762946520542338e-05	7.926128301298034e+16	1.1905551380483901e-06
87.0	1.0287976533923528e-09	4.1151906185623294e-11	2.2968868883516793e-05	3.3640556537020532e+16	9.187785383142634e-07	5.635014744031637e-05	8.253419179079822e+16	2.2541435665919816e-06
88.0	1.8457273646666536e-09	7.382909475219743e-11	4.2072684910553036e-05	3.434758289109209e+16	1.6829896176926914e-06	0.0001052156001847	8.590251345558213e+16	4.209118258418874e-06
89.0	3.268710261769775e-09	1.307484110052663e-10	7.603639910998137e-05	3.505313707044042e+16	3.0417325399515526e-06	0.0001938291009980016	8.936789775713278e+16	7.75489058479064e-06
90.0	5.716643185233267e-09	2.2866572909151586e-10	0.00013563991327325423	3.575701186750606e+16	5.426502558131299e-06	0.0003524383798671893	9.293200384576299e+16	1.4103408821461839e-05
91.0	9.877294981836531e-09	3.9509180443856285e-10	0.0002389291692806636	3.645900977971272e+16	9.56005967675531e-06	0.0006327367713914996	9.659650021933323e+16	2.5328946459110594e-05
92.0	1.6866934907818563e-08	6.746774117969015e-10	0.0004157401735471466	3.715894277806674e+16	1.6638617293259012e-05	0.0011219116383656019	1.0036306467117243e+17	4.49394546399181e-05
93.0	2.847720001272091e-08	1.1390880458643588e-09	0.0007147942542009744	3.78566320679268e+16	2.861916651297002e-05	0.0019650088163873907	1.0423338423885982e+17	7.879920681770465e-05
94.0	4.7552828545775655e-08	1.902113271735088e-09	0.0012146557085128962	3.855190784347237e+16	4.8667603829441634e-05	0.0033997294490999406	1.0820915515384403e+17	0.00013660232627469183
95.0	7.856369984981382e-08	3.1425483580486936e-09	0.0020403477688064843	3.924460903727771e+16	8.185018954401942e-05	0.00580883984186391	1.1229208279187752e+17	0.00023420104025185772
96.0	1.284625260506527e-07	5.138502041008079e-09	0.0033879603686335223	3.9934583066283656e+16	0.00013618942964835497	0.009795134072185345	1.1648388162424338e+17	0.0003972465012418247
97.0	2.079584686058637e-07	8.31834143000783e-09	0.005559889177220501	4.0621685575349144e+16	0.00022426029836231215	0.016279000601829276	1.2078627516975523e+17	0.0006668252615317238
98.0	3.3339075884999157e-07	1.333563743298437e-08	0.009012687961058414	4.130578017946061e+16	0.000365579910420893	0.02660075612586517	1.2520099594750854e+17	0.0011081008198909768
99.0	5.294601107790749e-07	2.1178422734040484e-08	0.014416106867028855	4.198673820557648e+16	0.0005901514291779533	0.042560320631342845	1.2972978543036456e+17	0.0018234381033321256
100.0	8.331758174502345e-07	3.332707914539272e-08	0.022711734589101366	4.266443843499303e+16	0.0009436718490285446	0.06620978427054149	1.3437439399914867e+17	0.0029721552069758893
101.0	1.2995112323146896e-06	5.198056504596672e-08	0.035134678467475006	4.333876684702777e+16	0.0014951172736787886	0.09898267072724772	1.3913658089754386e+17	0.0047999867240059845
102.0	2.0094404087183837e-06	8.03778997909531e-08	0.053107821667524625	4.400961636473447e+16	0.002347696487516117	0.13941626852495576	1.4401811418766298e+17	0.007682657763133887
103.0	3.0812672930413834e-06	1.2325137401789953e-07	0.07781807459069215	4.4676886603286264e+16	0.0036545371708134474	0.1787203068095251	1.4902077070628227e+17	0.012189791795592967
104.0	4.686472624042026e-06	1.8746052032355832e-07	0.10914202047657914	4.5340483621590936e+16	0.005640968563782049	0.1954891237489707	1.5414633602172054e+17	0.019177886212634963
105.0	7.0717130944901964e-06	2.828722869853251e-07	0.14352521164557716	4.600031967763524e+16	0.008635927041337222	0.15878660632404692	1.5939660439134755e+17	0.02992451912958823
106.0	1.058913750224148e-05	4.235741305241639e-07	0.17091857067651342	4.665631298799144e+16	0.013115883694703085	0.0	1.6477337871970634e+17	0.04632060128341424
107.0	1.573786598330675e-05	6.295341324795681e-07	0.1731181530592318	4.7308387491862424e+16	0.01976583385184295	0.0	1.7027847051723696e+17	0.07114374712874291
108.0	2.3220347344637178e-05	9.288572735258307e-07	0.13098052326838178	4.795647261998661e+16	0.029563369466718656	0.0	1.7591369985958314e+17	0.10844420823892868
109.0	3.4018408727379936e-05	1.3608315019914266e-06	0.0	4.8600503068675624e+16	0.04389376479001667	0.0	1.816808953474737e+17	0.16408592470643651
110.0	4.9495190374110485e-05	1.9800134195848417e-06	0.0	4.924041857921071e+16	0.06470645137703004	0.0	1.875818940671602e+17	0.24649990917811693
111.0	7.153087051124419e-05	2.8616739048576935e-06	0.0	4.987616372278386e+16	0.09472637070275494	0.0	1.936185415514011e+17	0.3677263921873477
112.0	0.00010270218823675848	4.1090119219001355e-06	0.0	5.050768769112909e+16	0.13773762838101355	0.0	1.997926917409798e+17	0.5448471863639635
113.0	0.00014651831947389043	5.862653790455949e-06	0.0	5.113494409295678e+16	0.19896182092087406	0.0	2.0610620694674307e+17	0.8019421349649378
114.0	0.00020772869154099527	8.313089625588245e-06	0.0	5.1757890756270456e+16	0.2855595872261165	0.0	2.1256095781215005e+17	1.1727452275645889
115.0	0.00029272183949895534	1.1716863499966352e-05	0.0	5.23764895366177e+16	0.40729161633357913	0.0	2.1915882327631747e+17	1.704229362366327
116.0	0.0004100383446682289	1.64175349421638e-05	0.0	5.299070613130181e+16	0.577384830016086	0.0	2.2590169053755526e+17	2.4614167033023557
117.0	0.0005710250522930685	2.287267334424728e-05	0.0	5.360050989955342e+16	0.8136611158450392	0.0	2.3279145501737613e+17	3.533797633708828
118.0	0.0007906617059493316	3.168844137091662e-05	0.0	5.420587368864764e+16	1.1400002337740085	0.0	2.3983002032497312e+17	5.043849690660999
119.0	0.00108859402387536	4.3663677272568735e-05	0.0	5.480677366592536e+16	1.588225843482528	0.0	2.4701929822215338e+17	7.158283676151833
120.0	0.001490407572288745	5.984580901066388e-05	0.0	5.540318915666847e+16	2.2005245596753493	0.0	2.543612085887175e+17	10.10281348507547
121.0	0.002029171976653741	8.160143648541164e-05	0.0	5.599510248775759e+16	3.0325331778297806	0.0	2.6185767938827846e+17	14.181456329829615
122.0	0.002747270759214409	0.00011070501447127084	0.0	5.658249883703345e+16	4.157259451537715	0.0	2.695106466345063e+17	19.801629585825573
123.0	0.0036985014829385284	0.0001494497721553816	0.0	5.716536608826823e+16	5.670037869271659	0.0	2.7732205435779392e+17	27.506629586959058
124.0	0.004950373113568582	0.00020078583106236477	0.0	5.774369469164611e+16	7.694764702818133	0.0	2.8529385457233248e+17	38.01746829358508
125.0	0.006586426278133167	0.0002684914489456006	0.0	5.831747752964202e+16	10.391707225017793	0.0	2.934280072435901e+17	52.28651978895881
126.0	0.008708233841519994	0.00035738444202026195	0.0	5.8886709788182104e+16	13.967241586099753	0.0	3.017264802561839e+17	71.56600628258292
127.0	0.011436471913218067	0.0004735821426706858	0.0	5.945138883296296e+16	18.685943691589387	0.0	3.101912493821391e+17	97.49505155991724
128.0	0.014910045532437908	0.0006248197574041219	0.0	6.001151409080188e+16	24.885538975006536	0.0	3.18824298249526e+17	132.2098703969172
129.0	0.019281668703759407	0.0008208387253010177	0.0	6.056708693588764e+16	32.995311786679395	0.0	3.276276183114693e+17	178.48267042390643
