T	H2O_370	H2O_470	H2O_63	H2O_des	H2O_ads	NH3_33	NH3_30	NH3_46	NH3_ads	CH3OH_309	CH3OH_46	CH3OH_375	CH3OH_ads
150.0	3.4462149876559716	3.012209266122462	3.4488483186876424	4.64877828467817	3.123895363489699	1.2215153938998542	2.3054897864417425	2.8417967538289526	2.734898739163339	2.3667561672122477	1.833939072870269	1.9110692181752365	1.3889141764427153
160.0	3.571894722302785	3.0874131068977206	3.5703470105486037	4.895944795774776	3.2228785476812636	1.158080134761926	2.3527193968813354	2.9274053788801986	2.7996141807262322	2.3768992042702766	1.847176218223507	1.9210865299065656	1.3779822566002426
170.0	3.6881113491533695	3.1500273444665483	3.6814112626166837	5.136124072481421	3.313349886246704	1.0853667469846853	2.392131083454717	3.0050461856970108	2.8564574088230676	2.380316077295075	1.8585816048399275	1.9287910152947534	1.365952818396564
180.0	3.7949901526970153	3.2004795724586446	3.7822851464720513	5.3694965274904165	3.3956323277808638	1.004253010657636	2.42416260541317	3.075076074019912	2.906108891531095	2.3775237260290436	1.8679913579253098	1.9342939643804344	1.3527562656203687
190.0	3.8926536808193157	3.239264945662275	3.8732041878349674	5.5961322990484925	3.469960257737534	0.9155292171380731	2.4491827470601644	3.1377887843878876	2.949100241349144	2.368925821684333	1.8752036424392449	1.9376058837256993	1.3382052468120031
200.0	3.9812357493301738	3.2669243351513115	3.954406191753022	5.816019689364423	3.536513091897816	0.8199079574136467	2.4675096183352627	3.1934333217805415	2.985846376069971	2.3548480901921938	1.8800123809841542	1.9386746074548205	1.3220506994406653
210.0	4.060888907419045	3.2840250133653583	4.026137821467861	6.029091342434807	3.595440350538862	0.7180326540176019	2.47942468610718	3.242228216551016	3.0166732894588897	2.3355625076021678	1.882226202309063	1.937412161641415	1.3040212472652506
220.0	4.131787388730168	3.2911446870133263	4.088657822137702	6.235246597774862	3.6468793858307587	0.6104848949944222	2.48518312113631	3.2843720998158092	3.0418409547535825	2.3113037645710284	1.8816778983648428	1.9337134147082837	1.2838496179314243
230.0	4.194127092346262	3.288858944482575	4.142237772848313	6.4343695560782574	3.6909671659380674	0.4977907330432725	2.4850211809087934	3.3200512378065437	3.0615615601963295	2.2822804035125595	1.8782280273116303	1.9274687713242589	1.2612892903780786
240.0	4.248123728240805	3.2777318123036734	4.187161146101306	6.626342998511386	3.7278474802992703	0.3804261383862366	2.4791613170014726	3.3494446729930614	3.076013609033235	2.2486823057959553	1.871765086019738	1.9185725744036999	1.2361240232210475
250.0	4.294009934526507	3.258308964181044	4.223721310447136	6.811058600848497	3.7576747649998623	0.258821777647654	2.467815595601479	3.3727275484608157	3.0853525386179257	2.2106856901895053	1.8622038150613633	1.9069284349201006	1.2081723644775195
260.0	4.332031922952892	3.231113096739252	4.252218964211204	6.988424001607347	3.7806155375326735	0.1333672583246024	2.451187903096331	3.3900730952283578	3.0897185152453	2.1684564225251233	1.8494826098270867	1.8924523795782218	1.1772887523994253
270.0	4.3624460224058215	3.196641018295759	4.272959354954514	7.15836729886963	3.79684822099909	0.004414943683359596	2.4294752996151505	3.401653664785842	3.0892420019013915	2.1221521859411094	1.8335606199022667	1.8750744640389616	1.1433624063863679
280.0	4.385515354636134	3.1553620556974913	4.286249528224388	7.320839512170039	3.806561950443296	-0.1277165870584014	2.402868791336161	3.4076411022140576	3.08404761117869	2.071923887958266	1.8144148663345163	1.8547393220501647	1.1063148773668132
290.0	4.40150678037249	3.1077174502178657	4.292395761717373	7.4758154827252845	3.809954796736026	-0.26273938139193476	2.371553719013523	3.408206682550958	3.074256665740865	2.0179165613549106	1.792037548553349	1.8314059913549023	1.066096871076784
300.0	4.410688187566359	3.0541204767580314	4.291701275292839	7.623293614090139	3.807231717188154	-0.40039322332748917	2.335709903853557	3.403520774699752	3.059988804702124	1.9602699337049803	1.766433617481459	1.8050472627690457	1.0226847641546275
