T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
44.0	1.1198948559861173e-59	4.47957942394447e-61	2.2453330094863717e-56	3909270720393560.5	8.981332037945486e-58	4.360998133301407e-56	7592781223176349.0	1.744399253320563e-57
45.0	4.4380237430830944e-58	1.775209497233238e-59	9.39814348444502e-55	4128998121788662.5	3.7592573937780083e-56	1.869638759440924e-54	8214106263574167.0	7.478555037763695e-56
46.0	1.500337732495079e-56	6.001350929980316e-58	3.3496513506167625e-53	4353141753398650.5	1.339860540246705e-54	6.825991227061347e-53	8870925451206254.0	2.730396490824539e-54
47.0	4.37092574954557e-55	1.748370299818228e-56	1.0270387029823276e-51	4581478114049921.0	4.1081548119293104e-53	2.1440761953461332e-51	9564428424468790.0	8.576304781384533e-53
48.0	1.1075776327150887e-53	4.4303105308603545e-55	2.7344397558545503e-50	4813781996575280.0	1.0937759023418201e-51	5.848477059863633e-50	1.029581782442919e+16	2.339390823945453e-51
49.0	2.462030741113748e-52	9.848122964454992e-54	6.376432365068686e-49	5049827250880664.0	2.5505729460274744e-50	1.397346252787342e-48	1.106630915572409e+16	5.589385011149369e-50
50.0	4.838795525273018e-51	1.935518210109207e-52	1.3126544625322237e-47	5289387498064406.0	5.250617850128895e-49	2.9475186981302883e-47	1.1877130651828866e+16	1.1790074792521153e-48
51.0	8.469238140004853e-50	3.387695256001941e-51	2.4029950166097393e-46	5532236796294747.0	9.611980066438958e-48	5.529224761398039e-46	1.272952314447438e+16	2.211689904559216e-47
52.0	1.3289602067521919e-48	5.315840827008768e-50	3.938297982399889e-45	5778150259361917.0	1.5753191929599557e-46	9.286412328526922e-45	1.3624739937002348e+16	3.714564931410769e-46
53.0	1.881129749278166e-47	7.524518997112664e-49	5.814613274160878e-44	6026904628995588.0	2.325845309664351e-45	1.4051043507828107e-43	1.456404668146544e+16	5.620417403131243e-45
54.0	2.415710074854454e-46	9.662840299417818e-48	7.778451942027932e-43	6278278802181369.0	3.111380776811173e-44	1.9264034759552156e-42	1.5548721259290782e+16	7.705613903820863e-44
55.0	2.829371010540926e-45	1.1317484042163704e-46	9.478671043016582e-42	6532054314826357.0	3.7914684172066326e-43	2.4059333709548284e-41	1.6580053665338196e+16	9.623733483819314e-43
