T	H2O_370	H2O_470	H2O_63	H2O_des	H2O_ads	NH3_33	NH3_30	NH3_46	NH3_ads	CH3OH_309	CH3OH_46	CH3OH_375	CH3OH_ads	H2O_qrrho_370	H2O_qrrho_470	H2O_qrrho_63	H2O_qrrho_des	H2O_qrrho_ads	NH3_qrrho_33	NH3_qrrho_30	NH3_qrrho_46	NH3_qrrho_ads	CH3OH_qrrho_309	CH3OH_qrrho_46	CH3OH_qrrho_375	CH3OH_qrrho_ads	H2O_diff_370	H2O_diff_470	H2O_diff_63	H2O_diff_des	H2O_diff_ads	NH3_diff_33	NH3_diff_30	NH3_diff_46	NH3_diff_ads	CH3OH_diff_309	CH3OH_diff_46	CH3OH_diff_375	CH3OH_diff_ads
10.0	0.33251570287574567	0.3325565928868686	0.3325816654227537	0.33111390124580115	0.3304424374393665	0.3228434179718081	0.3108533685544336	0.3264357842723927	0.3236311876731125	0.33257826089526055	0.33256470978808894	0.33257300481030905	0.32690553283712004	0.281440690116642	0.28762476509569723	0.3392799336612425	0.3397067231222072	0.292384657540651	0.2265906455921003	0.2639677211088306	0.27650568621441546	0.28357241234185093	0.2908124881838959	0.2482875007399627	0.2554588915643393	0.2278134083285972	-0.051075012759103644	-0.044931827791171386	0.0066982682384887915	0.008592821876406032	-0.038057779898715505	-0.09625277237970781	-0.046885647445602974	-0.04993009805797727	-0.040058775331261565	-0.04176577271136467	-0.08427720904812624	-0.07711411324596973	-0.09909212450852284
11.0	0.36569363044835446	0.3657758021665792	0.3658461549606259	0.36388728064070625	0.36254407176847225	0.35154163368096375	0.3375880659984858	0.35746985346917937	0.3536483410454572	0.36583537844697694	0.36579852198775614	0.365819148996298	0.35747377796530083	0.30957416433725665	0.31637735453840166	0.3732101526814584	0.37368756990074503	0.32161033331279576	0.24921730651201118	0.2903707643196208	0.3041489034363719	0.3119200224002161	0.3198933090462306	0.2731099435238772	0.28100061264665854	0.2505671993564754	-0.056119466111097804	-0.04939844762817752	0.007363997720832516	0.009800289260038786	-0.040933738455676494	-0.10232432716895257	-0.04721730167886501	-0.05332095003280746	-0.041728318645241125	-0.045942069400746355	-0.09268857846387896	-0.08481853634963948	-0.10690657860882541
12.0	0.3988097025967646	0.3989526702099909	0.39911920285664737	0.3966684497615785	0.3943609676609982	0.37930551517727723	0.3637998257225478	0.38824318997408014	0.3832529862511957	0.3990909621306736	0.39900531786428084	0.39904932967112017	0.3874536758669592	0.3376977924674479	0.3451183843611825	0.40714330948335287	0.4076753650673631	0.35082977234003454	0.2718332303840842	0.316780540933534	0.3317866374340517	0.3402634319699388	0.3489731945817514	0.2979241420140377	0.3065361661964794	0.27330718106237406	-0.061111910129316716	-0.05383428584880845	0.008024106626705496	0.011006915305784626	-0.04353119532096367	-0.10747228479319304	-0.04701928478901379	-0.05645655254002846	-0.04298955428125689	-0.050117767548922165	-0.10108117585024312	-0.09251316347464078	-0.11414649480458516
13.0	0.43183921737314385	0.43206151319680264	0.4324070107947666	0.42949032908817475	0.425897170839498	0.4061797773825408	0.38960631972302595	0.41878160141334164	0.4124885361379938	0.43234298041287605	0.4321668051931124	0.4322503944067268	0.4168503618581133	0.36580667549147317	0.3738409111809541	0.44108142546085694	0.44167141051910924	0.3800415177931606	0.29443742618150354	0.3431971609598993	0.35941629445380036	0.368601838623489	0.37805088881905635	0.32272367113678035	0.3320601782679889	0.29602944610841536	-0.06603254188167068	-0.058220602015848555	0.008674414666090313	0.012181081430934493	-0.04585565304633743	-0.11174235120103726	-0.04640915876312668	-0.059365306959541286	-0.0438866975145048	-0.0542920915938197	-0.10944313405633205	-0.10019021613873791	-0.12082091574969794
14.0	0.4647556833086317	0.46507168226194184	0.46571744734132453	0.4623803495602299	0.45716054138240464	0.4322204992781652	0.4151050856697953	0.44910212598955884	0.44139286284887347	0.4655878410337066	0.46525880507491446	0.4654038202773881	0.4456748781983924	0.3938949540383992	0.402536851126534	0.4750269575459612	0.4756764126129878	0.40924418805132207	0.31702846192922524	0.3696188514314861	0.3870344886340261	0.3969346479464107	0.4071241486192774	0.3474994334702641	0.35756480458372686	0.31872915143164177	-0.07086072927023251	-0.06253483113540786	0.009309510204636662	0.013296063052757934	-0.04791635333108257	-0.11519203734893996	-0.04548623423830922	-0.06206763735553272	-0.04445821490246277	-0.05846369241442917	-0.11775937160465039	-0.10783901569366122	-0.12694572676675064
15.0	0.49753208686729045	0.49794975212908593	0.49905952331814224	0.49535965270381754	0.4881608439201826	0.4574876735800643	0.44037283309702385	0.4792147640915895	0.46999860235980345	0.498819894657112	0.49825148338099945	0.49848562193986107	0.4739408228228853	0.421955973531158	0.4311977340396605	0.508982561159493	0.5096903955001006	0.4384365241278529	0.3396042957952558	0.39604167812618957	0.4146368600048653	0.4252614821969842	0.4361894099822555	0.3722394817740482	0.3830395086726765	0.34140034375832523	-0.07557611333613246	-0.06675201808942544	0.00992303784135079	0.014330742796283102	-0.04972431979232972	-0.11788337778480851	-0.044331154970834286	-0.06457790408672415	-0.04473712016281928	-0.06263048467485649	-0.12601200160695125	-0.11544611326718457	-0.13254047906456007
16.0	0.5301419486927915	0.5306619193424552	0.5324427097416512	0.5284431343278168	0.5189086898176956	0.4820404340450345	0.46546663694125806	0.5091241140762515	0.4983339111173713	0.5320310416872878	0.5311100080135853	0.5314667148335182	0.5016621351828805	0.44998248609253527	0.4598154967919602	0.5429508075192538	0.5437127062064109	0.46761736729023906	0.3621621844103976	0.42245951252864183	0.44221798717979893	0.4535821091835348	0.4652415094277083	0.3969290642087348	0.4084710362496352	0.36403585313298525	-0.08015946260025625	-0.070846422550495	0.010508097777602643	0.015269571878594124	-0.051291322527456495	-0.11987824963463689	-0.04300712441261623	-0.06690612689645253	-0.04475180193383649	-0.06678953225957945	-0.13418094380485052	-0.12299567858388294	-0.13762628204989524
17.0	0.5625601337402341	0.5631761884044415	0.5658762339471486	0.5616399930837636	0.5494149494274823	0.5059342558843681	0.4904261625636701	0.538830711426514	0.5264232222814822	0.5652104972438956	0.5637955190420986	0.5643136304879838	0.528851737163388	0.47796686605225014	0.48838316708119034	0.5769339075566046	0.5777420808059044	0.4967855954743863	0.38469865257120894	0.44886420781454583	0.4697714292539418	0.4818963251719379	0.49427349828160133	0.4215508780097298	0.433843572835325	0.38662727764913174	-0.08459326768798392	-0.07479302132325116	0.011057673609455976	0.016102087722140834	-0.05262935395309598	-0.12123560331315919	-0.041561954749124275	-0.06905928217257218	-0.04452689710954427	-0.07093699896229427	-0.14224464103236878	-0.1304700576526588	-0.14222445951425622
18.0	0.5947634251733583	0.5954640862054995	0.5993684565529801	0.5949545368857091	0.5796904031892437	0.5292195137357706	0.515276349868419	0.5683321031626469	0.554287847431423	0.5983447352884226	0.5962662872390944	0.5969894613798087	0.555520799053673	0.505901320724943	0.5168953498304635	0.6109334801512216	0.611776744056796	0.525940048795041	0.4072095061589577	0.4752459257071058	0.49728988844323674	0.5102038236939894	0.5232765675630231	0.4460854915840294	0.45913905309296504	0.4091650618231728	-0.08886210444841536	-0.07856873637503603	0.01156502359824152	0.016822207171086956	-0.053750354394202726	-0.1220100075768129	-0.040030424161313194	-0.07104221471941019	-0.044084023737433586	-0.07506816772539948	-0.15018079565506498	-0.13785040828684364	-0.14635573723050022
19.0	0.6267308929613797	0.6275018024016772	0.6329263887849147	0.6283870778600114	0.6097455143473597	0.5519409232068351	0.5400301858936345	0.5976237312968827	0.5819464093203403	0.6314176032220199	0.6284789442285592	0.6294549198028484	0.5816784483264864	0.5337780835311874	0.5453484880556662	0.6449503850352145	0.6458145225527291	0.5550794652253687	0.4296898736282849	0.5015935524173165	0.5247654590921158	0.5385040726207505	0.5522400825170181	0.47051188115238696	0.48433758128513604	0.43163865491158815	-0.09295280943019235	-0.08215331434601103	0.012023996250299818	0.01742744469271773	-0.05466604912199102	-0.12225104957855015	-0.03843663347631798	-0.07285827220476693	-0.043442336699589745	-0.07917752070500184	-0.15796706307617225	-0.14511733851771236	-0.15003979341489826
