T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
36.0	1.2680075747974403e-61	5.072030299189761e-63	1.3024446590430617e-60	24446187502201.414	5.209778636172247e-62	1.597214140986086e-60	29978852537505.383	6.388856563944344e-62
37.0	1.210446914033348e-59	4.841787656133392e-61	1.3553876870250697e-58	26649649142696.7	5.421550748100279e-60	1.678163719430965e-58	32996075407029.227	6.71265487772386e-60
38.0	9.094211126125329e-58	3.6376844504501316e-59	1.107240645194379e-56	28976818106919.027	4.428962580777516e-58	1.384172339953977e-56	36224203200591.195	5.5366893598159086e-58
39.0	5.4774940002144845e-56	2.1909976000857937e-57	7.233629767240483e-55	31430267233132.285	2.893451906896193e-56	9.13041633157555e-55	39671843111297.37	3.65216653263022e-56
40.0	2.689049386534401e-54	1.0756197546137604e-55	3.8429382148284347e-53	34012482465686.957	1.537175285931374e-54	4.897690012892562e-53	43347716349718.98	1.959076005157025e-54
41.0	1.0922340343033621e-52	4.3689361372134486e-54	1.6854426708449257e-51	36725861069280.68	6.741770683379703e-53	2.1689110912095406e-51	47260656672144.06	8.675644364838163e-53
42.0	3.720608645492096e-51	1.4882434581968386e-52	6.186372617893495e-50	39572709892161.01	2.474549047157398e-51	8.038389632325141e-50	51419608964400.414	3.2153558529300564e-51
43.0	1.0760391367788058e-49	4.3041565471152237e-51	1.9240105189085457e-48	42555243699097.695	7.696042075634184e-50	2.5243537107992934e-48	55833627877837.875	1.0097414843197174e-49
44.0	2.6718224497046674e-48	1.068728979881867e-49	5.127645498024771e-47	45675583594199.63	2.0510581992099085e-48	6.793201679533876e-47	60511876514343.99	2.7172806718135503e-48
45.0	5.754018845162635e-47	2.3016075380650543e-48	1.1831065827399655e-45	48935755552413.1	4.732426330959863e-47	1.5826964349397586e-45	65463625157523.54	6.330785739759034e-47
46.0	1.084809998458217e-45	4.339239993832868e-47	2.38558291028314e-44	52337689076932.15	9.54233164113256e-46	3.2224681692020495e-44	70698250047402.52	1.2889872676808199e-45
47.0	1.8057017830314715e-44	7.222807132125886e-46	4.239881422945154e-43	55883215997855.96	1.6959525691780617e-44	5.783238136488875e-43	76225232196222.78	2.31329525459555e-44
48.0	2.674434479445909e-43	1.0697737917783637e-44	6.694459562808771e-42	59574069425363.734	2.6777838251235086e-43	9.22059272143373e-42	82054156243080.69	3.688237088573492e-43
49.0	3.549922638097913e-42	1.419969055239165e-43	9.458359789746186e-41	63411882868498.69	3.783343915898475e-42	1.315490496111156e-40	88194709345331.8	5.261961984444624e-42
50.0	4.250750019752887e-41	1.7003000079011548e-42	1.2037605012350954e-39	67398189528438.445	4.815042004940382e-41	1.6906088054511847e-39	94656680104834.66	6.762435221804739e-41
51.0	4.6196222397624706e-40	1.8478488959049884e-41	1.3885062125057747e-38	71534421772936.06	5.554024850023099e-40	1.9691764159659822e-38	101449957527246.8	7.87670566386393e-40
52.0	4.582192272502856e-39	1.8328769090011425e-40	1.4598032502494227e-37	75821910796490.81	5.839213000997691e-39	2.090583687145709e-37	108584530012710.53	8.362334748582836e-39
53.0	4.1697900706563583e-38	1.6679160282625433e-39	1.4062089143809653e-36	80261886468778.0	5.624835657523862e-38	2.0335847686570118e-36	116070484376382.22	8.134339074628047e-38
54.0	3.4979254722834693e-37	1.3991701889133877e-38	1.247144356516142e-35	84855477371969.52	4.9885774260645675e-37	1.8212570981249872e-35	123918004897361.27	7.285028392499949e-37
55.0	2.7170167949111585e-36	1.0868067179644635e-37	1.0229269307333552e-34	89603711025832.97	4.091707722933421e-36	1.5084964141706732e-34	132137372394673.98	6.033985656682693e-36
56.0	1.9622369100898704e-35	7.848947640359482e-37	7.791912627255845e-34	94507514297899.95	3.116765050902338e-35	1.1603582145371327e-33	140738963329051.94	4.6414328581485304e-35
57.0	1.3226774361592382e-34	5.290709744636953e-36	5.533485468523943e-33	99567713994575.45	2.2133941874095773e-34	8.321439991586502e-33	149733248929326.62	3.328575996634601e-34
58.0	8.35123732136245e-34	3.3404949285449804e-35	3.676854055514289e-32	104785037627811.75	1.4707416222057157e-33	5.583819214848831e-32	159130794342337.25	2.2335276859395325e-33
59.0	4.955503273364642e-33	1.982201309345857e-34	2.293709631168445e-31	110160114350875.95	9.174838524673779e-33	3.517647799503297e-31	168942257805313.66	1.4070591198013187e-32
60.0	2.772132112143665e-32	1.108852844857466e-33	1.3475630254962714e-30	115693476055826.81	5.390252101985086e-32	2.0870163240622975e-30	179178389839762.78	8.348065296249191e-32
61.0	1.4661885598834292e-31	5.864754239533717e-33	7.477960049152126e-30	121385558624548.22	2.9911840196608506e-31	1.169571548870754e-29	189850032465941.62	4.678286195483016e-31
62.0	7.351814382720069e-31	2.9407257530880275e-32	3.930368173358709e-29	127236703324563.7	1.5721472693434834e-30	6.207946888956348e-29	200968118437055.66	2.4831787555825394e-30
63.0	3.503741804825288e-30	1.4014967219301154e-31	1.9616266075198495e-28	133247158340390.25	7.846506430079399e-30	3.129007211040751e-28	212543670492372.7	1.2516028844163003e-29
64.0	1.5908799759426801e-29	6.36351990377072e-31	9.319222741973839e-28	139417080430819.86	3.727689096789536e-29	1.5012391112474827e-27	224587800628481.16	6.004956444989931e-29
65.0	6.897339058434416e-29	2.7589356233737663e-30	4.2238269017163165e-27	145746536702294.56	1.6895307606865266e-28	6.871647446900224e-27	237111709387975.5	2.74865897876009e-28
66.0	2.8613874585599246e-28	1.1445549834239699e-29	1.8302858346294285e-26	152235506488408.84	7.321143338517714e-28	3.007204687527696e-26	250126685164880.8	1.2028818750110786e-27
67.0	1.1380994431634976e-27	4.55239777265399e-29	7.597773624284478e-26	158883883325538.03	3.039109449713791e-27	1.2607371962737685e-25	263644103526171.72	5.042948785095074e-27
68.0	4.348096268140736e-27	1.7392385072562944e-28	3.027091949318011e-25	165691477014630.5	1.2108367797272045e-26	5.07297697729509e-25	277675426548774.25	2.0291907909180363e-26
69.0	1.598429718780059e-26	6.393718875120236e-28	1.1595956669960882e-24	172658015759345.1	4.638382667984353e-26	1.962672824104998e-24	292232202171467.94	7.850691296419992e-26
70.0	5.663434867886232e-26	2.265373947154493e-27	4.2781418918235314e-24	179783148370894.3	1.7112567567294126e-25	7.313168775183164e-24	307326063561142.75	2.9252675100732654e-25
71.0	1.9370208304153954e-25	7.748083321661581e-27	1.5224971221681253e-23	187066446530176.2	6.089988488672502e-25	2.6285791428736635e-23	322968728492882.6	1.0514316571494654e-24
72.0	6.404645254301643e-25	2.5618581017206576e-26	5.2342868224605725e-23	194507407098108.84	2.093714728984229e-24	9.127279778474706e-23	339171998743385.5	3.6509119113898824e-24
73.0	2.050055400905147e-24	8.200221603620589e-26	1.740884365079303e-22	202105454465374.56	6.963537460317212e-24	3.0660423833337243e-22	355947759497245.4	1.2264169533334897e-23
74.0	6.3608692813318574e-24	2.544347712532743e-25	5.608830476358709e-22	209859942933158.84	2.2435321905434836e-23	9.977231190973538e-22	373307978765648.5	3.9908924763894154e-23
75.0	1.9155249527900873e-23	7.662099811160349e-25	1.7527197279377545e-21	217770159116840.97	7.010878911751018e-23	3.1490878881899376e-21	391264706817058.1	1.259635155275975e-22
76.0	5.605201667755581e-23	2.2420806671022325e-24	5.31874793755156e-21	225835324365021.12	2.127499175020624e-22	9.652089971206145e-21	409830075619479.6	3.860835988482458e-22
77.0	1.595554817215517e-22	6.382219268862068e-24	1.5691165316564458e-20	234054597186658.94	6.276466126625783e-22	2.876151864114784e-20	429016298293920.6	1.1504607456459135e-21
