T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
145.1	0.05066788650529592	0.05386760166013555	0.045398664799599184	0.01677239382321935	0.01383188294256373	0.043555306175498715	0.016091370781301306	0.013270255836958896
150.1	0.045979484530982564	0.04849232021556018	0.04062800133955698	0.014546098175925535	0.012002133135279697	0.038791586623133936	0.013888604135459517	0.011459628134015052
155.1	0.041801341184324194	0.043724745609873036	0.036427226296598655	0.012649647109507445	0.010442761119808727	0.0346066974458261	0.012017453833866792	0.009920861710132485
160.1	0.03807095340862558	0.03948960242696519	0.03272132811361546	0.011029714133604632	0.009110142097173752	0.030924280488647957	0.010423964833972225	0.008609815241185582
165.1	0.034734104575910404	0.03572149661108857	0.02944586477341307	0.009642205350182256	0.00796819637527539	0.02767864502725886	0.009063519826002937	0.0074899779876009525
170.1	0.03174371964326336	0.03236359406495507	0.02654541852531386	0.008450576970507833	0.006987013692113031	0.024813234846476295	0.00789914654227347	0.006531086012172649
175.1	0.029058877738123153	0.029366468317083182	0.02397227516865214	0.0074244697676813	0.006141737466634349	0.02227931243801674	0.0069001411204008675	0.005707997550034533
180.1	0.02664396230983477	0.02668709960330618	0.021685298066853615	0.006538600121546106	0.00541165911690239	0.02003483259042153	0.006040948038022207	0.004999778380233214
185.1	0.024467930753603834	0.02428800804299026	0.019648969759108473	0.005771858527569178	0.004779482006772039	0.018043479902008844	0.005300248034182843	0.004388957211928502
190.1	0.02250368730457396	0.022136504574281585	0.017832577023263213	0.005106575764237666	0.004230722348833667	0.016273847356441	0.004660214527204522	0.003860918678359569
195.1	0.02072754487693983	0.0202040446415524	0.016209518230993446	0.004527924570040824	0.0037532207312680793	0.014698735772401205	0.004105906536144745	0.0034034077409484382
200.1	0.019118763303847538	0.01846567110336033	0.014756714659684568	0.00402343091587002	0.0033367430760642284	0.013294556506325017	0.003624772240562682	0.0030061243572743084
205.1	0.01765915307369397	0.016899534324264467	0.013454110001163358	0.0035825740057797663	0.0029726539831258702	0.012040822160140505	0.0032062422914192275	0.0026603913563481296
210.1	0.01633273513725141	0.015486478851990435	0.012284244602374187	0.00319645820830028	0.0026536487501678703	0.0109197121836299	0.002841396013467068	0.00235888176491389
215.1	0.015125448673528049	0.014209687419366231	0.011231892984396441	0.0028575433926966124	0.0023735330354307635	0.009915702152575019	0.0025226868889688687	0.0020953944861586866
220.1	0.01402489985570483	0.01305437422693724	0.0102837549280864	0.0025594227716983125	0.0021270412766362145	0.009015247156264648	0.0022437163298411823	0.0018646693697532896
225.1	0.013020145662700272	0.012007520550211905	0.009428191910109908	0.002296639459834928	0.0019096866997823192	0.008206511157898883	0.0019990468514536723	0.0016622344304478632
230.1	0.012101507650413826	0.011057646676924856	0.008655001948836035	0.0020645346471230364	0.0017176371301758074	0.007479135420217468	0.001784047455661248	0.0014842793537563805
235.1	0.011260411344038351	0.010194615021542971	0.007955227002626722	0.0018591216444648585	0.0015476119239154005	0.00682404013907638	0.00159476539400634	0.0013275505381587236
240.1	0.010489247553377044	0.00940945999625134	0.007320987979372814	0.0016769811465500177	0.0013967962257535437	0.006233254322085467	0.0014278195797125526	0.0011892638173675615
245.1	0.009781252460497864	0.00869424085077925	0.006745343189425055	0.001515173933862072	0.0012627694727553435	0.00569976970876431	0.0012803118016701542	0.0010670317266061402
250.1	0.009130403795787527	0.008041914238783041	0.00622216672553682	0.0013711679403982193	0.0011434456374599152	0.005217415172010958	0.001149752607278693	0.0009588027580116632
255.1	0.008531330815784116	0.007446223736794707	0.005746043801645319	0.0012427771820870928	0.0010370231672352116	0.004780748584928187	0.0010339992975588962	0.0008628105198010998
260.1	0.007979236133994568	0.006901603942913731	0.005312180543339582	0.0011281104998818576	0.0009419429504275024	0.004384963597031966	0.0009312039444167023	0.0007775310937585067
265.1	0.007469827742949993	0.006403097125491884	0.004916326110465295	0.001025528442831078	0.0008568529424403769	0.004025809152407638	0.0008397697179638406	0.0007016471935417261
270.1	0.0069992598095485305	0.0059462806850860556	0.004554705358214669	0.0009336069174009346	0.0007805783301372298	0.0036995199105022652	0.0007583141186680939	0.000634017976341992
275.1	0.006564081032780819	0.005527203943029706	0.004223960517157598	0.0008511064737485788	0.0007120963121880657	0.003402756007355035	0.0006856379586605595	0.000573653563822576
280.1	0.006161189528789555	0.005142332983291677	0.00392110060334506	0.0007769462985523063	0.000650514735149118	0.003132550829164832	0.0006206991398461692	0.0005196934940248421
285.1	0.005787793357629951	0.00478850245621962	0.0036434574638810114	0.0007101821462006947	0.0005950539573417802	0.0028862656679437245	0.0005625904424261443	0.0004713884612831916
290.1	0.005441375933114266	0.004462873407931086	0.003388647527103721	0.0006499875726809633	0.0005450314207229639	0.0026615502963218043	0.0005105206731704901	0.0004280848119278288
295.1	0.005119665665165352	0.0041628963314864036	0.0031545384646746986	0.0005956379450378464	0.0004998484995100514	0.0024563086401696767	0.00046379863399771454	0.0003892113543300854
