T	370_TPD_kooji	370_TPD_full	370_rate_full	370_rate_kooji	ratio
115.0	0.0	0.0	0.4388577515076909	0.6143077161236431	0.7143940080664085
116.0	0.0	0.0	0.5976870488546745	0.8333280163677218	0.7172290348041458
117.0	0.0	0.0	0.8098981731747519	1.124742968632944	0.7200740042492849
118.0	0.0	0.0	1.092064028846344	1.510612334959888	0.7229280494888466
119.0	0.0	0.0	1.4654792542359638	2.0191496291193665	0.7257903194005088
120.0	0.0	0.0	1.957384605417388	2.686279834165816	0.7286599782055933
121.0	0.0	0.0	2.6024772199639084	3.557550811480728	0.731536205067076
122.0	0.0	0.0	3.4447659948693423	4.69046930521149	0.7344181937278492
123.0	0.0	0.0	4.539841977721013	6.157344708993907	0.7373051521851227
124.0	0.0	0.0	5.957645949739499	8.048737788130813	0.7401963023972563
125.0	0.0	0.0	7.785829466723069	10.477627536646544	0.743090880019485
126.0	0.0	0.0	10.133821728720475	13.584427505750256	0.7459881341654517
127.0	0.0	0.0	13.13773299718095	17.54300349352515	0.748887327191714
128.0	0.0	0.0	16.96624611185085	22.567867674878627	0.7517877345025729
129.0	0.0	0.0	21.82767123818533	28.922750330132452	0.7546886443729631
130.0	0.0	0.0	27.978365575932	36.93077956856933	0.7575893577871706
131.0	0.0	0.0	35.73274967430985	46.98653212227968	0.7604891882916041
132.0	0.0	0.0	45.47518553923359	59.57025470192729	0.7633874618595902
133.0	0.0	0.0	57.6740192104505	75.26459586888123	0.7662835167669625
134.0	0.0	0.0	72.89813227457962	94.77423320945762	0.7691767034766687
135.0	0.0	0.0	91.83639322305564	118.9488301304548	0.7720663845313642
136.0	0.0	0.0	115.32045103598011	148.8098111754985	0.7749519344526095
137.0	0.0	0.0	144.3513702623173	185.58150474362796	0.7778327396457522
138.0	0.0	0.0	180.13066957523998	230.72726783870507	0.7807081983095481
139.0	0.0	0.0	224.0963947223459	285.99127936204866	0.7835777203494818
140.0	0.0	0.0	277.9649323883527	353.44676685889846	0.7864407272943613
141.0	0.0	0.0	343.77935417599895	435.5515169248532	0.7892966522151088
142.0	0.0	0.0	423.9651701308644	535.211612057527	0.7921449396454701
143.0	0.0	0.0	521.3944694340722	655.8544369895899	0.7949850455038519
144.0	0.0	0.0	639.4595325150049	801.5121058506253	0.7978164370160847
145.0	0.0	0.0	782.1571143460857	976.9165782637058	0.8006385926383088
146.0	0.0	0.0	954.1847235271366	1187.6078580718422	0.8034510019799944
