T	33_TPD_HH	33_rate_HH	33_TPD_full	33_pre_full	33_rate_full	33_TPD_Tait	33_pre_Tait	33_rate_Tait
28.0	8.48387961517391e-34	3.393551846069564e-35	5.906290319891251e-33	11837470933014.123	2.3625161279565006e-34	9.48135498134281e-33	19002666296177.04	3.792541992537124e-34
29.0	3.203295326030567e-32	1.2813181304122269e-33	2.44697585661562e-31	12988868996682.996	9.78790342646248e-33	4.047741528388618e-31	21485943272603.34	1.6190966113554476e-32
30.0	9.507625568670121e-31	3.803050227468048e-32	7.93562558256626e-30	14192134920015.965	3.1742502330265043e-31	1.3527553532943336e-29	24192782645774.156	5.411021413177334e-31
31.0	2.270519468314973e-29	9.082077873259892e-31	2.062554915709188e-28	15446102865110.568	8.250219662836753e-30	3.623380629751309e-28	27134845962316.652	1.4493522519005237e-29
32.0	4.452461424629382e-28	1.7809845698517526e-29	4.385954567866799e-27	16749528861516.092	1.7543818271467197e-28	7.94050071948603e-27	30323990802441.832	3.176200287794412e-28
33.0	7.299106620838909e-27	2.9196426483355635e-28	7.770268705349359e-26	18101099772391.188	3.1081074821397436e-27	1.449743923114222e-25	33772267590491.887	5.7989756924568874e-27
34.0	1.0162324517928505e-25	4.064929807171402e-27	1.1654042643044382e-24	19499441649167.832	4.661617057217753e-26	2.240743105253959e-24	37491916556314.18	8.962972421015837e-26
35.0	1.2185577702756801e-24	4.8742310811027204e-26	1.5008905685014752e-23	20943127538385.234	6.003562274005901e-25	2.973767963005131e-23	41495364835933.62	1.1895071852020526e-24
36.0	1.2741781180174218e-23	5.096712472069687e-25	1.6808696773147956e-22	22430684790859.11	6.723478709259183e-24	3.431718808538211e-22	45795223701193.02	1.3726875234152844e-23
37.0	1.174796787769985e-22	4.69918715107994e-24	1.655472008132891e-21	23960601912543.848	6.621888032531565e-23	3.482503683211405e-21	50404285909072.23	1.393001473284562e-22
38.0	9.64616462236865e-22	3.85846584894746e-23	1.448403484461186e-20	25531334988016.65	5.793613937844744e-22	3.139207746104457e-20	55335523162308.02	1.2556830984417829e-21
39.0	7.11663394993666e-21	2.8466535799746643e-22	1.1359699955170096e-19	27141313701105.9	4.543879982068039e-21	2.536433920527965e-19	60602083673736.08	1.0145735682111861e-20
40.0	4.755591665571116e-20	1.9022366662284466e-21	8.051776377944914e-19	28788946972474.133	3.220710551177966e-20	1.851984411080409e-18	66217289827478.84	7.407937644321635e-20
41.0	2.899257043301529e-19	1.1597028173206116e-20	5.195866713487132e-18	30472628230623.992	2.0783466853948529e-19	1.2309857321325622e-17	72194635930725.86	4.923942928530249e-19
42.0	1.6231704403608232e-18	6.492681761443293e-20	3.0729568191882604e-17	32190740330539.87	1.2291827276753041e-18	7.498241801749881e-17	78547786050404.12	2.9992967206999526e-18
43.0	8.394895548530533e-18	3.357958219412213e-19	1.6757519947546117e-16	33941660132757.73	6.7030079790184466e-18	4.210926792785965e-16	85290571929525.92	1.684370717114386e-17
44.0	4.032592392398405e-17	1.613036956959362e-18	8.472330533416107e-16	35723762754854.58	3.3889322133664434e-17	2.1922571439575372e-15	92436990978439.45	8.769028575830154e-17
45.0	1.8080353177245696e-16	7.232141270898279e-18	3.991256334159935e-15	37535425506993.59	1.596502533663976e-16	1.0633433212518268e-14	100001204336598.73	4.253373285007319e-16
46.0	7.600339578974065e-16	3.0401358315896266e-17	1.7600105817344327e-14	39375031523100.91	7.040042326937766e-16	4.827343548694344e-14	107997535000820.7	1.9309374194777637e-15
47.0	3.0077833683625917e-15	1.203113347345038e-16	7.295193661522816e-14	41240973099376.29	2.918077464609193e-15	2.0597374062441086e-13	116440466016311.27	8.238949624976944e-15
48.0	1.1248195440347502e-14	4.499278176139018e-16	2.8532533881752655e-13	43131654752058.06	1.1413013552702154e-14	8.291822263563324e-13	125344638727030.19	3.316728905426218e-14
49.0	3.9888128068609994e-14	1.595525122744424e-15	1.056711409603913e-12	45045496006613.74	4.2268456384172635e-14	3.1604777373250095e-12	134724851082217.4	1.2641910949313905e-13
50.0	1.3455832067048114e-13	5.382332826819543e-15	3.717864622531543e-12	46980933930750.99	1.4871458490147554e-13	1.1442696348619229e-11	144596055996140.7	4.577078539467179e-13
51.0	4.330686918242121e-13	1.732274767297177e-14	1.2463797912913428e-11	48936425423830.93	4.985519165191074e-13	3.947073414463342e-11	154973359758331.8	1.5788293658101247e-12
52.0	1.3333913184762329e-12	5.333565273908253e-14	3.99232529567043e-11	50910449275361.45	1.596930118296309e-12	1.3007448817563154e-10	165872020491774.8	5.202979527312315e-12
53.0	3.9373102763549886e-12	1.574924110545076e-13	1.2249801750552065e-10	52901508005280.55	4.899920700502781e-12	4.105707288999702e-10	177307446656681.3	1.642282915904106e-11
54.0	1.1176065353735812e-11	4.47042614152067e-13	3.609000561388853e-10	54908129498675.37	1.4436002248154481e-11	1.2441991252180047e-09	189295195597650.1	4.976796503837274e-11
55.0	3.056035756059673e-11	1.2224143024447352e-12	1.0231807253223763e-09	56928868447432.57	4.092722903503426e-11	3.627861038474939e-09	201850972132153.7	1.4511444180601035e-10
56.0	8.066301321676153e-11	3.2265205288241393e-12	2.797114731501974e-09	58962307611105.34	1.1188458943508007e-10	1.0198946961750775e-08	214990627178429.5	4.079578807006942e-10
57.0	2.0589343108791557e-10	8.235737244573209e-12	7.387269538447544e-09	61007058908971.67	2.954907828266069e-10	2.7696652291847652e-08	228730156420974.47	1.1078661090306484e-09
58.0	5.091111087417086e-10	2.036444435647386e-11	1.8881654801070927e-08	63061764354921.64	7.552662009160864e-10	7.278356636011708e-08	243085699011956.94	2.9113427806506243e-09
59.0	1.2214729577033236e-09	4.885891834933554e-11	4.6783595227292626e-08	65125096846392.0	1.8713438664112686e-09	1.8539099999253975e-07	258073536306962.22	7.415640861006338e-09
60.0	2.8477962933292595e-09	1.1391185196837219e-10	1.1254135271570029e-07	67195760818133.41	4.501654457117991e-09	4.5841726580569316e-07	273710090633586.1	1.833669616143918e-08
61.0	6.460967818392804e-09	2.584387140053096e-10	2.632204826934375e-07	69272492771113.79	1.0528821307740896e-08	1.1019819278956935e-06	290011924091475.56	4.40793106141338e-08
62.0	1.428302922118388e-08	5.713211753452962e-10	5.99377174380397e-07	71354061686364.05	2.3975097840145023e-08	2.578773710274554e-06	306995737382504.1	1.031511404719315e-07
63.0	3.080430826755801e-08	1.232172362315629e-09	1.3304566539380536e-06	73439269333066.12	5.3218322172614334e-08	5.881989789979202e-06	324678368669837.44	2.3528063641246553e-07
64.0	6.488912498866172e-08	2.5955651460943402e-09	2.8822671027437388e-06	75526950479665.1	1.152909588491905e-07	1.3092427209905524e-05	343076792464721.8	5.237024944203454e-07
65.0	1.3365088050963301e-07	5.346035869126756e-09	6.100733644642984e-06	77615973016273.56	2.440306306744698e-07	2.8469592825926405e-05	362208118539889.4	1.138810378427773e-06
66.0	2.694342711345751e-07	1.0777373593622726e-08	1.26297932389011e-05	79705237996126.9	5.05197471635643e-07	6.054203109924149e-05	382089590868535.75	2.4218068987443637e-06
67.0	5.321453265950014e-07	2.1285824226834444e-08	2.559771341450507e-05	81793679603349.62	1.0239331066777315e-06	0.00012602777252930617	402738586587884.4	5.041677720622356e-06
68.0	1.0306114057738477e-06	4.122449978795547e-08	5.0838769042671847e-05	83880265053812.17	2.03365161764258e-06	0.0002570371077728213	424172614986399.1	1.0283936562114735e-05
69.0	1.9589127744812256e-06	7.83566745246639e-08	9.902625167647581e-05	85963994435389.89	3.961447924329401e-06	0.00051403818278932	446409316513762.06	2.0571720426903734e-05
70.0	3.6571080909742167e-06	1.4628491552304636e-07	0.00018932744039966944	88043900493486.1	7.5746084363079185e-06	0.0010087111910707103	469466461812775.56	4.0389221766404715e-05
71.0	6.7110493838429594e-06	2.684440432352939e-07	0.00035555178590308107	90119048367264.64	1.4227602928641586e-05	0.0019433158989649129	493361950772388.8	7.78898364204134e-05
72.0	1.2113843798428926e-05	4.845607365226313e-07	0.0006563010964702106	92188535281620.36	2.6271598801913202e-05	0.0036766379661437336	518113811601096.06	0.00014765044428282397
73.0	2.1523058610854265e-05	8.609451836792019e-07	0.0011913966828857657	94251490199548.31	4.772270959701161e-05	0.006830277683172874	543740199919981.0	0.00027531400938132485
74.0	3.7664444305488164e-05	1.5066501685146771e-06	0.0021278686614764793	96307073439204.05	8.53359402492976e-05	0.012449639448344213	570259397874728.2	0.0005052964456900273
75.0	6.495668359430781e-05	2.5984900749311624e-06	0.003739916342831899	98354476259617.14	0.00015030608403128343	0.02222018558101792	597689813265944.5	0.0009133942725724079
76.0	0.00011046489383801992	4.419261613799036e-06	0.006467917828324691	100392920418702.19	0.00026092408406066343	0.03867919698762295	626049978697172.6	0.0016271218785794668
77.0	0.00018533625141131083	7.4153864896154895e-06	0.011000060112205754	102421657706923.84	0.0004466701800767006	0.06517722661912526	655358550740005.1	0.002858078344245103
78.0	0.0003069323954694064	1.228277975367725e-05	0.01837197841137924	104439969459692.72	0.0007544401075346204	0.10487614114231278	685634309115733.6	0.004952797521626364
79.0	0.0005019530392991649	2.0093259951221006e-05	0.030054365956984512	106447166051326.47	0.0012578992964751633	0.1571764639790376	716896155892991.9	0.008471650336926052
80.0	0.000810944181389632	3.247853947828379e-05	0.047933881336576445	108442586373166.86	0.0020713702099631514	0.20926422271184406	749163114700884.8	0.014309822460842721
81.0	0.0012946971045670686	5.189511521773688e-05	0.07395195133414109	110425597298236.83	0.003370214984985028	0.2242924731637452	782454329957103.0	0.02388068864835521
82.0	0.0020431510668311647	8.200165023266878e-05	0.10891799917467833	112395593134612.42	0.005420423801052235	0.1490898993264922	816789066110563.5	0.039390716049538047
83.0	0.0031874613863698735	0.00012819122019447454	0.14975781027799592	114351995069511.16	0.008621114142526129	0.0	852186706898116.5	0.06424722949911124
84.0	0.004915767721270257	0.00019833472396656252	0.18485107582642654	116294250605919.92	0.0135649553395762	0.0	888666754614893.9	0.10365710063317193
85.0	0.007492647697717684	0.0003038095794470728	0.19023227042686655	118221832993431.17	0.021123239339125285	0.0	926248829397885.1	0.16549714393316228
86.0	0.011280782561162106	0.0004609104344903794	0.1383999282477573	120134240654823.3	0.032564522581944116	0.0	964952668522348.9	0.2615675830081642
87.0	0.016760099529260983	0.0006927670635325465	0.0	122030996609768.17	0.04971858470736268	0.0	1004798125710676.5	0.4093807484560576
88.0	0.024533082920953467	0.001031930108542344	0.0	123911647896949.34	0.07520102920270894	0.0	1045805170453348.0	0.6346911408119724
89.0	0.03529287639594399	0.0015238292591474372	0.0	125775764995750.69	0.11271835534056082	0.0	1087993887341631.9	0.9750438139324809
90.0	0.04971102521708205	0.0022313624535865756	0.0	127622941248569.22	0.1674789533353353	0.0	1131384475411689.0	1.4847102402439056
91.0	0.06817497526116598	0.0032409405376015543	0.0	129452792284727.47	0.24674243895176487	0.0	1175997247499771.2	2.2414999624761993
92.0	0.09028417232361698	0.004670391589495024	0.0	131264955446852.05	0.36054830544925265	0.0	1221852629608188.8	3.3560891680058127
93.0	0.1140415831381521	0.006679225093680239	0.0	133059089220527.58	0.5226753199807102	0.0	1268971160281766.2	4.984701993167118
94.0	0.13486097507980302	0.00948187085917751	0.0	134834872667941.53	0.7518957552840304	0.0	1317373489994487.5	7.346226652284094
95.0	0.1450265659851124	0.013364643827269363	0.0	136592004866184.27	1.0736037910483844	0.0	1367080380546067.2	10.745158039520666
96.0	0.13517640365698336	0.018707346748076514	0.0	138330204350790.75	1.5219156478733897	0.0	1418112704468176.0	15.602145066634044
97.0	0.10004814567520313	0.02601061144466665	0.0	140049208565066.19	2.142360676199786	0.0	1470491444440062.8	22.4944009147541
98.0	0.04833459258607016	0.035930299599600715	0.0	141748773315677.88	2.995308200091419	0.0	1524237692713339.8	32.20882659566357
99.0	0.0	0.04932053951879891	0.0	143428672234942.56	4.160304939416135	0.0	1579372650545680.0	45.811424848728244
100.0	0.0	0.06728727021919555	0.0	145088696250204.88	5.741532872133583	0.0	1635917627643212.5	64.73746803140791
101.0	0.0	0.09125450274475068	0.0	146728653060642.44	7.874638058056321	0.0	1693894041611379.8	90.90795974849526
102.0	0.0	0.1230458953431499	0.0	148348366621815.22	10.735227870054157	0.0	1753323417414060.5	126.87922923901019
103.0	0.0	0.1649846787212144	0.0	149947676638228.03	14.54938794508318	0.0	1814227386840746.8	176.0340584364285
104.0	0.0	0.22001546488681062	0.0	151526438064130.47	19.606631682122867	0.0	1876627687981567.5	242.82460772394012
105.0	0.0	0.29185203305178503	0.0	153084520612778.7	26.27576500863086	0.0	1940546164709988.2	333.0796269160032
106.0	0.0	0.3851558137782805	0.0	154621808274326.5	35.024228162647475	0.0	2006004766172982.8	454.39106818068853
107.0	0.0	0.5057504931168664	0.0	156138198842490.34	46.441565158959705	0.0	2073025546288511.8	616.5983192957551
108.0	0.0	0.6608789370369458	0.0	157633603450128.34	61.26777119623405	0.0	2141630663250117.8	832.3919176558059
109.0	0.0	0.8595094980812301	0.0	159107946113821.75	80.42737928839874	0.0	2211842379038501.8	1118.062864175394
110.0	0.0	1.1126997158991927	0.0	160561163287542.75	105.07027062967056	0.0	2283683058939883.5	1494.4286160003423
111.0	0.0	1.4340264660095987	0.0	161993203425476.44	136.62032937271618	0.0	2357175171071011.0	1987.9725905232865
112.0	0.0	1.8400927515101926	0.0	163404026554027.28	176.83321233140356	0.0	2432341285910661.0	2632.2406622682965
113.0	0.0	2.351122574957524	0.0	164793603853045.06	227.8646682951544	0.0	2509204075837494.0	3469.545789746954
114.0	0.0	2.991656676464945	0.0	166161917246268.56	292.3510207976052	0.0	2587786314674092.5	4553.040692108607
115.0	0.0	3.7913633830521056	0.0	167508959000992.6	373.50362289898857	0.0	2668110877237093.0	5949.228536118761
116.0	0.0	4.7859803868830255	0.0	168834731336929.7	475.21930333574863	0.0	2750200738893227.5	7740.993033963672
117.0	0.0	6.0184049592665305	0.0	170139246044233.94	602.2090507038517	0.0	2834078975121184.5	10031.242343602205
118.0	0.0	7.539951915695209	0.0	171422524110651.84	760.1474265319399	0.0	2919768761079132.5	12947.27586889348
119.0	0.0	9.411800576767408	0.0	172684595357728.53	955.8454594316847	0.0	3007293371177818.0	16645.999650777027
120.0	0.0	11.706654021997718	0.0	173925498086025.78	1197.4500511492724	0.0	3096676178659092.0	21320.134709023412
121.0	0.0	14.510636109092825	0.0	175145278729253.97	1494.673221338095	0.0	3187940655179761.0	27205.583633675982
122.0	0.0	17.925454030416507	0.0	176343991517256.1	1859.0548311667976	0.0	3281110370400650.5	34590.14414499016
123.0	0.0	22.070856600584097	0.0	177521698147735.88	2304.262756283772	0.0	3376208991580779.5	43823.78446073469
124.0	0.0	27.087421013202803	0.0	178678467466649.4	2846.4348268672475	0.0	3473260283176531.5	55330.72436192565
125.0	0.0	33.139703468770875	0.0	179814375157140.78	3504.567216052689	0.0	3572288106445714.5	69623.59807553698
126.0	0.0	40.41979185698217	0.0	180929503436922.25	4300.954337365054	0.0	3673316419056447.5	87320.01074972852
