mol_iso_xtb	mol_def_xtb	mol_iso_cry	5A_complex	5A_ref	7_5A_complex	7_5A_ref	10A_complex	10A_ref	all_complex	all_ref	cry_des_all_complex	cry_des_all_ref	cry_des_all_opt_ref	cry_des_frag_complex	cry_des_frag_ref	cry_des_frag_opt_ref	cry_ads_all_complex	cry_ads_all_ref	cry_ads_frag_complex	cry_ads_frag_ref	cry_ads_mol_full_complex	cry_ads_mol_frag_complex	cry_ads_mol_only_complex
							1514.33	1526.88	" 209.36"	" 210.21"													
							1516.81	1527.56	" 209.90"	" 210.81"													
							1518.33	1529.15	" 210.11"	" 210.97"													
							1519.70	1530.20	" 210.93"	" 212.24"													
							1521.26	1531.14	" 211.40"	" 212.46"													
							1521.85	1531.43	" 211.98"	" 212.81"													
							1522.43	1533.63	" 212.49"	" 213.65"													
							1522.96	1534.09	" 212.78"	" 214.97"													
							1524.83	1534.27	" 214.06"	" 215.22"													
							1528.51	1537.22	" 215.09"	" 215.74"													
							1529.36	1537.77	" 215.31"	" 216.44"													
							1531.35	1538.68	" 215.85"	" 217.47"													
							1532.10	1540.36	" 217.64"	" 218.06"													
							1533.02	1542.14	" 218.23"	" 218.80"													
							1534.37	1543.51	" 219.24"	" 219.00"													
							1535.43	1545.66	" 219.27"	" 219.36"													
							1537.51	1548.43	" 219.84"	" 220.17"													
							1537.83	1549.30	" 221.55"	" 220.78"													
							1538.58	1551.26	" 221.86"	" 222.32"													
							1541.15	1555.27	" 221.98"	" 222.64"													
							1543.17	1558.07	" 223.52"	" 223.24"													
							1544.22	1559.51	" 223.70"	" 223.61"													
							1546.88	1563.29	" 224.16"	" 224.80"													
							1547.83	1564.47	" 225.20"	" 225.22"													
							1549.40	1572.07	" 225.40"	" 225.93"													
							1550.34	1578.96	" 226.01"	" 226.81"													
							1551.38	2909.70	" 227.23"	" 227.57"													
							1554.39	2923.14	" 227.77"	" 228.59"													
							1558.25	2960.42	" 228.40"	" 229.03"													
							1560.28	2990.84	" 228.89"	" 229.83"													
							1562.66	2997.62	" 230.52"	" 230.86"													
							1570.50	2999.25	" 230.64"	" 231.84"													
							1586.37	3017.50	" 231.40"	" 232.08"													
							2919.26	3033.78	" 231.47"	" 233.12"													
							2923.92	3036.85	" 232.69"	" 233.46"													
							2985.22	3040.29	" 232.84"	" 233.97"													
							2992.40	3041.11	" 233.50"	" 234.26"													
							3009.73	3067.44	" 234.77"	" 235.70"													
							3021.18	3079.50	" 235.25"	" 236.43"													
							3028.21	3092.10	" 236.49"	" 237.66"													
							3048.58	3096.34	" 236.85"	" 238.49"													
							3052.20	3109.19	" 237.79"	" 238.66"													
							3057.93	3128.99	" 238.52"	" 239.36"													
							3061.78	3130.84	" 239.19"	" 239.86"													
							3071.89	3134.63	" 239.48"	" 240.13"													
							3078.39	3137.31	" 240.01"	" 241.51"													
							3081.31	3141.66	" 240.20"	" 242.35"													
							3101.90	3143.24	" 242.04"	" 242.70"													
							3107.06	3157.88	" 242.71"	" 243.31"													
							3128.17	3161.42	" 243.29"	" 244.21"													
							3134.42	3162.59	" 244.31"	" 245.32"													
