T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
190.1	0.08976973412820212	0.12313501537391656	0.1147844502842531	0.015122225171707283	0.07540546852890195	0.11475669014886539	0.015118567925302473	0.07538723203423606
195.1	0.08489192540752599	0.1156828253688866	0.10756593775562719	0.013635069505270334	0.07091735014117377	0.10753364641678945	0.013630976251786402	0.07089606072343926
200.1	0.08032034546292909	0.10872028601087956	0.10084568176178971	0.01230822906453279	0.06671838627975375	0.10080849703450313	0.012303690663550719	0.06669378527596787
205.1	0.07603364458756408	0.1022141693766504	0.09458737372690144	0.01112302169981457	0.06278921063052272	0.09454495103611828	0.011118032994752221	0.06276104950116533
210.1	0.07201203875331716	0.09613337725163149	0.0887573567485518	0.010063092565900348	0.05911174793760709	0.08870937292921484	0.01005765227753055	0.059079791066226094
215.1	0.06823719940785919	0.09044884604464559	0.08332445167117258	0.009114107271145937	0.05566913226709679	0.08327060819178911	0.009108217820485171	0.055633159395803884
220.1	0.0646921490830843	0.08513344623394152	0.07825978921726956	0.00826348741545131	0.052445630211606496	0.07819981481485494	0.008257154690503296	0.05240543849421678
225.1	0.061361162937973314	0.08016187912593499	0.07353664935357478	0.007500182455463701	0.0494265686054071	0.07347030208661041	0.007493415535675699	0.049381974273584504
230.1	0.05822967625477254	0.07551057307456993	0.06913030862578869	0.006814472717560922	0.04659826641644826	0.06905737736687684	0.006807283568778115	0.046549106065504976
235.1	0.055284197821268276	0.07115758079491395	0.06501789586140592	0.00619779913437433	0.043947970549107866	0.06493820126276824	0.006190202285723555	0.04389410205909525
240.1	0.05251222906317662	0.06708247898961917	0.0611782563906841	0.005642615925857223	0.04146379533795881	0.06109165136386887	0.005634628138489662	0.04140509845251354
245.1	0.04990218873788168	0.06326627117414585	0.05759182475195732	0.005142262996446629	0.039134665544250734	0.05749819450849423	0.005133902932524671	0.03907104213453006
250.1	0.04744334296194967	0.05969129432165478	0.054240505714262005	0.004690855289185695	0.03695026268765411	0.05413976741696641	0.004682143187989922	0.036881636731852956
255.1	0.04512574031806325	0.05634112973898213	0.0511075633559842	0.004283186737548592	0.03490097455941396	0.05099966543159279	0.00427414410416098	0.034827291870063885
260.1	0.04294015177018242	0.05320051842087571	0.04817751787386471	0.003914646796344955	0.03297784777183443	0.048062439037087866	0.0039052961070692015	0.032899075503596734
265.1	0.04087801510705696	0.05025528100218913	0.04543604975514596	0.0035811478232647743	0.031172543204704205	0.04531379779241677	0.0035715122507936465	0.031088669174928897
270.1	0.038931383631999744	0.04749224232992052	0.04286991092139765	0.0032790618298895644	0.029477294213105236	0.04274052127990707	0.003269164990230327	0.029388326066254196
275.1	0.03709287881965493	0.044899160603073154	0.040466842441342174	0.0030051653317757026	0.027884867463888557	0.04033037666565089	0.0029950310540969886	0.027790831709208066
280.1	0.03535564666714985	0.04246466097351395	0.03821549840848243	0.0027565912069910984	0.02638852627051713	0.03807204246332234	0.0027462433268511622	0.02628946722025812
285.1	0.03371331747646637	0.04017817346143436	0.036105375584934485	0.0025307866259177644	0.024981996298342423	0.035955038098943494	0.0025202488017639878	0.024877974931504843
290.1	0.03215996881630168	0.03802987501149483	0.03412674842358324	0.0023254762461766437	0.023659433514923653	0.03396965888480398	0.0023147717985562664	0.02355052628905769
